Sorted Value,Time
0,1.13
5.00E-04,4.16
0.001,3.19
0.0015,3.61
0.002,2.93
0.0025,2.1
0.003,2.28
0.0035,2.17
0.004,2.29
0.0045,2.16
0.005,2.15
0.0055,2.18
0.006,2.16
0.0065,2.42
0.007,2.42
0.0075,2.38
0.008,2.22
0.0085,2.33
0.009,2.48
0.0095,2.5
0.01,2.5
0.0105,2.33
0.011,2.61
0.0115,2.9
0.012,2.4
0.0125,2.4
0.013,2.49
0.0135,2.5
0.014,2.6
0.0145,2.66
0.015,2.54
0.0155,2.63
0.016,2.73
0.0165,2.54
0.017,2.59
0.0175,2.48
0.018,2.59
0.0185,2.56
0.019,2.64
0.0195,2.64
0.02,3.51
0.0205,2.84
0.021,2.75
0.0215,2.65
0.022,3.14
0.0225,2.76
0.023,2.83
0.0235,3.15
0.024,2.79
0.0245,2.86
0.025,3.3
0.0255,2.92
0.026,2.82
0.0265,2.83
0.027,2.99
0.0275,2.92
0.028,3.02
0.0285,3.01
0.029,2.83
0.0295,2.83
0.03,2.94
0.0305,2.98
0.031,2.81
0.0315,2.91
0.032,2.9
0.0325,2.94
0.033,2.94
0.0335,2.9
0.034,2.97
0.0345,2.98
0.035,2.98
0.0355,3.1
0.036,3.14
0.0365,3.01
0.037,3.08
0.0375,3.1
0.038,3.67
0.0385,3.44
0.039,3.33
0.0395,3.24
0.04,2.98
0.0405,3.07
0.041,3.14
0.0415,3.08
0.042,3.53
0.0425,3.05
0.043,3.11
0.0435,4.2
0.044,3.25
0.0445,3.13
0.045,3.17
0.0455,3.08
0.046,3.07
0.0465,3.12
0.047,3.18
0.0475,3.15
0.048,3.08
0.0485,3.53
0.049,3.2
0.0495,3.3
0.0498,3.16
0.0503,3.38
0.0508,3.35
0.0513,3.23
0.0518,3.53
0.0523,4.05
0.0528,3.33
0.0533,3.3
0.0538,4.01
0.0543,5.55
0.0548,3.61
0.0553,3.45
0.0558,4.16
0.0563,4.92
0.0566,3.26
0.0569,3.33
0.0574,3.22
0.0579,3.34
0.0584,3.36
0.0589,3.29
0.0592,3.19
0.0595,3.32
0.06,3.3
0.0605,3.9
0.061,4.04
0.0613,3.78
0.0618,3.35
0.0623,3.69
0.0627,3.37
0.0631,3.36
0.0635,3.35
0.0639,3.41
0.0641,3.52
0.0646,3.47
0.0651,3.71
0.0654,3.4
0.0657,3.78
0.0662,3.3
0.0664,3.4
0.0668,3.53
0.0673,3.58
0.0678,4.04
0.0681,3.46
0.0685,3.47
0.0687,3.43
0.069,3.77
0.0694,3.45
0.0697,3.48
0.0701,3.58
0.0704,3.42
0.0709,3.41
0.0711,3.52
0.0709,4.07
0.0714,3.53
0.0714,3.41
0.0719,3.76
0.0721,3.58
0.0726,3.57
0.0728,3.53
0.0729,3.44
0.0731,3.41
0.0734,3.51
0.0736,3.7
0.0738,3.37
0.0739,3.44
0.0741,3.53
0.0746,3.48
0.0746,3.51
0.0749,3.46
0.075,3.53
0.0752,3.85
0.0756,3.46
0.0759,3.46
0.076,3.42
0.0764,3.49
0.0767,3.44
0.0771,3.49
0.0773,3.41
0.0773,3.65
0.0778,3.5
0.0782,3.48
0.0786,3.6
0.0787,3.66
0.0792,3.49
0.0793,3.43
0.0794,3.5
0.0799,3.72
0.0801,3.4
0.0804,3.7
0.0807,3.42
0.081,4.78
0.0811,3.46
0.0814,3.51
0.0817,3.44
0.082,3.77
0.0822,3.55
0.0822,3.66
0.0824,3.51
0.0828,3.75
0.0832,3.51
0.0835,3.51
