Sorted Value,Time
0,5.823
2.00E-04,4.547
4.00E-04,3.471
6.00E-04,2.829
8.00E-04,2.594
0.001,2.313
0.0012,2.296
0.0014,1.219
0.0016,1.219
0.0018,1.203
0.002,1.188
0.0022,1.141
0.0024,1.014
0.0026,0.828
0.0028,0.828
0.003,0.812
0.0032,0.735
0.0034,0.766
0.0036,0.734
0.0038,0.766
0.004,0.75
0.0042,0.688
0.0044,0.672
0.0046,0.672
0.0048,0.64
0.005,0.625
0.0052,0.641
0.0054,0.657
0.0056,0.672
0.0058,0.656
0.006,0.657
0.0062,0.641
0.0064,0.64
0.0066,0.641
0.0068,0.625
0.007,0.641
0.0072,0.641
0.0074,0.656
0.0076,0.546
0.0078,0.547
0.008,0.531
0.0082,0.531
0.0084,0.531
0.0086,0.531
0.0088,0.532
0.009,0.469
0.0092,0.469
0.0094,0.469
0.0096,0.484
0.0098,0.469
0.01,0.437
0.0102,0.438
0.0104,0.422
0.0106,0.422
0.0108,0.422
0.011,0.438
0.0112,0.328
0.0114,0.328
0.0116,0.328
0.0118,0.328
0.012,0.328
0.0122,0.375
0.0124,0.376
0.0126,0.375
0.0128,0.359
0.013,0.375
0.0132,0.375
0.0134,0.374
0.0136,0.359
0.0138,0.375
0.014,0.375
0.0142,0.361
0.0144,0.375
0.0146,0.375
0.0148,0.375
0.015,0.375
0.0152,0.375
0.0154,0.375
0.0156,0.359
0.0158,0.375
0.016,0.375
0.0162,0.36
0.0164,0.375
0.0166,0.36
0.0168,0.376
0.017,0.36
0.0172,0.36
0.0174,0.36
0.0176,0.36
0.0178,0.375
0.018,0.36
0.0182,0.359
0.0184,0.359
0.0186,0.375
0.0188,0.375
0.019,0.359
0.0192,0.343
0.0194,0.36
0.0196,0.359
0.0198,0.36
0.02,0.359
0.0202,0.36
0.0204,0.375
0.0206,0.375
0.0208,0.375
0.021,0.359
0.0212,0.359
0.0214,0.36
0.0216,0.36
0.0218,0.375
0.022,0.375
0.0222,0.375
0.0224,0.359
0.0226,0.359
0.0228,0.375
0.023,0.359
0.0232,0.376
0.0234,0.359
0.0236,0.359
0.0238,0.343
0.024,0.328
0.0242,0.343
0.0244,0.328
0.0246,0.375
0.0248,0.328
0.025,0.328
0.0252,0.313
0.0254,0.328
0.0256,0.343
0.0258,0.328
0.026,0.328
0.0262,0.328
0.0264,0.329
0.0266,0.328
0.0268,0.313
0.027,0.328
0.0272,0.328
0.0274,0.328
0.0276,0.312
0.0278,0.328
0.028,0.328
0.0282,0.344
0.0284,0.328
0.0286,0.328
0.0288,0.329
0.029,0.312
0.0292,0.328
0.0294,0.312
0.0296,0.329
0.0298,0.328
0.03,0.328
0.0302,0.328
0.0304,0.328
0.0306,0.328
0.0308,0.312
0.031,0.313
0.0312,0.312
0.0314,0.328
0.0316,0.312
0.0318,0.313
0.032,0.312
0.0322,0.329
0.0324,0.328
0.0326,0.312
0.0328,0.312
0.033,0.312
0.0332,0.313
0.0334,0.328
